TICKET_NMBR,no_of_times_reassigned,STATUS,PRIORITY,BUSINESS_COMPLETION_HRS
IN10260886,2,RESOLVED,Low,17.58
IN10260887,2,RESOLVED,Medium,3.0
IN10260888,2,RESOLVED,Medium,3.53
IN10260890,2,RESOLVED,Low,1.6
IN10260909,2,RESOLVED,Low,0.0
IN10260919,2,RESOLVED,Low,2.4
IN10260920,2,RESOLVED,Low,2.38
IN10260921,2,RESOLVED,Low,2.35
IN10260922,2,RESOLVED,Low,2.35
IN10260925,3,RESOLVED,Low,3.75
IN10260941,2,,Low,8.3
IN10260942,2,RESOLVED,Low,0.0
IN10260945,2,RESOLVED,Medium,833.2
IN10260945,2,RESOLVED,Medium,833.2
IN10260952,2,RESOLVED,Medium,0.0
IN10260959,2,RESOLVED,Low,2.32
IN10260973,2,RESOLVED,Medium,5.67
IN10260979,2,RESOLVED,Medium,0.03
IN10260981,2,RESOLVED,Low,2.3
IN10260982,2,RESOLVED,Low,2.28
IN10260983,2,RESOLVED,Low,2.27
IN10261018,2,RESOLVED,Medium,3.95
IN10261032,2,RESOLVED,Medium,3.92
IN10261037,2,RESOLVED,Medium,27.25
IN10261040,4,RESOLVED,Low,27.1
IN10261045,2,RESOLVED,Low,0.47
IN10261047,3,RESOLVED,Low,103.68
IN10261048,3,RESOLVED,Medium,25.05
IN10261050,2,RESOLVED,Low,3.68
IN10261054,4,RESOLVED,Low,801.55
IN10261055,2,RESOLVED,Low,32.58
IN10261057,4,RESOLVED,Low,47.08
IN10261060,2,RESOLVED,Medium,2.4
IN10261071,2,RESOLVED,Medium,27.35
IN10261072,3,RESOLVED,Low,72.1
IN10261073,3,RESOLVED,Low,311.48
IN10261073,3,RESOLVED,Low,311.48
IN10261079,2,RESOLVED,Medium,17.37
IN10261080,2,RESOLVED,Medium,89.62
IN10261082,2,RESOLVED,Low,555.98
IN10261087,2,RESOLVED,Low,18.45
IN10261091,3,RESOLVED,Medium,216.2
IN10261094,2,RESOLVED,Low,84.57
IN10261099,2,RESOLVED,Low,320.54
IN10261103,2,RESOLVED,Medium,2.7
IN10261112,5,RESOLVED,Low,255.01
IN10261120,2,RESOLVED,Medium,0.38
IN10261121,2,RESOLVED,Low,1.1
IN10261125,2,RESOLVED,Low,62.7
IN10261128,4,RESOLVED,Medium,28.2
IN10261130,2,RESOLVED,Medium,9.07
IN10261131,3,RESOLVED,Medium,67.33
IN10261133,2,RESOLVED,Medium,3.32
IN10261136,3,RESOLVED,Medium,392.4
IN10261144,2,RESOLVED,Low,33.97
IN10261145,2,RESOLVED,Medium,42.58
IN10261152,3,RESOLVED,Medium,790.4
IN10261154,3,RESOLVED,Low,482.82
IN10261156,2,RESOLVED,Medium,268.93
IN10261157,2,RESOLVED,Low,67.83
IN10261166,3,RESOLVED,Medium,8.07
IN10261168,2,RESOLVED,Low,0.0
IN10261169,2,RESOLVED,Low,0.0
IN10261170,2,RESOLVED,Low,12.75
IN10261184,2,RESOLVED,Low,59.82
IN10261186,2,RESOLVED,Low,14.5
IN10261191,2,RESOLVED,Low,0.18
IN10261191,2,RESOLVED,Low,0.18
IN10261195,2,RESOLVED,Low,0.03
IN10261197,4,RESOLVED,Medium,48.53
IN10261197,4,RESOLVED,Medium,48.53
IN10261197,4,RESOLVED,Medium,48.53
IN10261200,3,RESOLVED,Medium,18.1
IN10261201,3,RESOLVED,Medium,6.55
IN10261201,3,RESOLVED,Medium,6.55
IN10261207,2,RESOLVED,Medium,0.0
IN10261209,2,RESOLVED,Medium,0.0
IN10261210,2,RESOLVED,Medium,145.1
IN10261211,2,RESOLVED,Low,6.7
IN10261230,2,RESOLVED,Medium,111.66
IN10261235,2,RESOLVED,Low,4.4
IN10261236,5,RESOLVED,Medium,29.05
IN10261247,2,RESOLVED,Low,0.78
IN10261248,2,RESOLVED,Low,0.4
IN10261251,4,RESOLVED,Medium,11.37
IN10261252,3,RESOLVED,Low,263.53
IN10261261,2,RESOLVED,Medium,3.6
IN10261267,2,RESOLVED,Low,9.66
IN10261281,3,RESOLVED,Low,137.4
IN10261287,2,RESOLVED,Medium,105.25
IN10261289,2,RESOLVED,Medium,4.9
IN10261289,2,RESOLVED,Medium,4.9
IN10261294,3,RESOLVED,Low,92.14
IN10261295,2,RESOLVED,Medium,18.51
IN10261296,2,RESOLVED,Medium,55.02
IN10261303,2,RESOLVED,Low,1.1
IN10261307,2,RESOLVED,Low,31.05
IN10261310,2,RESOLVED,Low,69.56
IN10261321,2,RESOLVED,Medium,23.4
IN10261334,3,RESOLVED,Low,5.72
IN10261335,2,RESOLVED,Low,99.69
IN10261336,3,RESOLVED,Low,16.69
IN10261339,2,RESOLVED,Medium,6.09
IN10261347,2,RESOLVED,Low,4.4
IN10261349,2,RESOLVED,Medium,65.95
IN10261354,2,RESOLVED,Low,1.75
IN10261366,2,RESOLVED,Low,480.52
IN10261370,2,RESOLVED,Low,14.3
IN10261375,2,,Medium,
IN10261386,2,RESOLVED,Medium,3.98
IN10261389,3,RESOLVED,Medium,304.85
IN10261393,2,RESOLVED,Medium,80.0
IN10261404,3,RESOLVED,Low,50.0
IN10261412,2,RESOLVED,Medium,3.95
IN10261413,2,RESOLVED,Low,3.88
IN10261413,2,RESOLVED,Low,3.88
IN10261414,2,RESOLVED,Low,48.17
IN10261415,5,RESOLVED,Low,80.13
IN10261420,2,RESOLVED,Medium,5.92
IN10261421,3,RESOLVED,Low,201.87
IN10261423,2,RESOLVED,Medium,10.0
IN10261432,2,RESOLVED,Low,3.3
IN10261433,2,RESOLVED,Low,31.87
IN10261436,4,RESOLVED,Medium,16.12
IN10261440,2,RESOLVED,Low,51.78
IN10261448,2,RESOLVED,Low,890.0
IN10261451,2,RESOLVED,Medium,76.58
IN10261455,2,RESOLVED,Medium,54.67
IN10261478,4,RESOLVED,Low,52.19
IN10261517,2,RESOLVED,Medium,40.05
IN10261539,3,RESOLVED,Medium,60.22
IN10261540,3,RESOLVED,Low,7.55
IN10261548,2,RESOLVED,Low,14.6
IN10261569,2,RESOLVED,Medium,3.12
IN10261577,2,RESOLVED,Low,7.85
IN10261580,2,RESOLVED,Low,37.03
IN10261582,2,RESOLVED,Medium,7.38
IN10261588,4,RESOLVED,Low,14.48
IN10261597,3,RESOLVED,Low,11.44
IN10261608,4,,Medium,
IN10261610,2,,Medium,1189.74
IN10261611,2,RESOLVED,Low,28.9
IN10261612,2,RESOLVED,Low,10.19
IN10261614,3,RESOLVED,Medium,1.98
IN10261616,2,RESOLVED,Low,5.04
IN10261636,4,RESOLVED,Low,8.32
IN10261639,2,RESOLVED,Low,8.32
IN10261641,2,RESOLVED,Low,14.32
IN10261642,2,RESOLVED,Medium,1.7
IN10261643,3,RESOLVED,Medium,131.78
IN10261644,2,RESOLVED,Medium,1.73
IN10261649,2,RESOLVED,Medium,11.12
IN10261654,2,RESOLVED,Medium,2.35
IN10261659,7,,Medium,
IN10261680,2,RESOLVED,Medium,6.13
IN10261689,2,RESOLVED,Medium,7.53
IN10261692,4,RESOLVED,Medium,46.08
IN10261693,2,RESOLVED,Low,5.13
IN10261694,2,RESOLVED,Medium,26.47
IN10261698,2,RESOLVED,Medium,124.43
IN10261706,2,RESOLVED,Low,4.02
IN10261712,2,RESOLVED,Medium,4.0
IN10261716,2,RESOLVED,Medium,10.22
IN10261744,2,RESOLVED,Medium,12.62
IN10261754,2,RESOLVED,Low,24.55
IN10261762,2,RESOLVED,Low,90.2
IN10261767,2,RESOLVED,Low,838.3
IN10261769,2,RESOLVED,Medium,0.43
IN10261770,3,RESOLVED,Low,20.66
IN10261774,2,RESOLVED,Low,3.2
IN10261775,2,RESOLVED,Low,19.69
IN10261779,2,RESOLVED,Medium,78.33
IN10261783,2,RESOLVED,Low,33.05
IN10261786,6,RESOLVED,Low,32.63
IN10261787,2,RESOLVED,Low,907.27
IN10261788,2,RESOLVED,Low,367.5
IN10261789,2,RESOLVED,Low,25.62
IN10261792,2,RESOLVED,Low,28.17
IN10261799,2,RESOLVED,Low,1.97
IN10261800,6,RESOLVED,Medium,289.8
IN10261805,3,RESOLVED,Medium,20.37
IN10261815,2,RESOLVED,Medium,0.0
IN10261819,2,RESOLVED,Medium,295.08
IN10261821,2,RESOLVED,Medium,1.98
IN10261824,4,RESOLVED,Low,10.78
IN10261824,4,RESOLVED,Low,10.78
IN10261827,3,RESOLVED,Low,10.24
IN10261828,2,RESOLVED,Medium,6.12
IN10261835,2,RESOLVED,Medium,5.78
IN10261843,4,,Medium,
IN10261844,2,RESOLVED,Low,15.05
IN10261846,2,RESOLVED,Low,286.72
IN10261856,2,RESOLVED,Low,15.76
IN10261858,2,RESOLVED,Low,18.37
IN10261863,4,RESOLVED,Medium,47.07
IN10261864,2,RESOLVED,Medium,66.08
IN10261866,2,RESOLVED,Low,880.83
IN10261867,2,RESOLVED,Medium,55.02
IN10261879,2,RESOLVED,Low,2.03
IN10261880,2,RESOLVED,Medium,876.43
IN10261881,2,RESOLVED,Low,0.5
IN10261882,2,RESOLVED,Medium,7.92
IN10261883,2,RESOLVED,Medium,20.0
IN10261895,4,RESOLVED,Medium,71.98
IN10261896,2,RESOLVED,Low,49.38
IN10261899,3,,Low,44.45
IN10261906,2,RESOLVED,Low,4.0
IN10261906,2,RESOLVED,Low,4.0
IN10261938,3,RESOLVED,Medium,2.1
IN10261940,2,RESOLVED,Medium,0.67
IN10261941,2,RESOLVED,Medium,6.83
IN10261943,3,RESOLVED,Low,3.82
IN10261947,2,RESOLVED,Medium,33.15
IN10261952,7,RESOLVED,Medium,162.46
IN10261955,2,RESOLVED,Medium,0.6
IN10261970,2,RESOLVED,Low,1095.55
IN10261971,4,RESOLVED,Medium,25.85
IN10261977,2,RESOLVED,Medium,183.56
IN10261979,3,RESOLVED,Low,10.48
IN10261981,3,RESOLVED,Low,67.05
IN10261983,3,RESOLVED,Medium,1.22
IN10261986,5,RESOLVED,Low,495.22
IN10261991,2,,Medium,
IN10261994,2,RESOLVED,Low,30.93
IN10261999,2,RESOLVED,Low,284.6
IN10262000,2,RESOLVED,Medium,758.63
IN10262017,3,RESOLVED,Low,42.45
IN10262021,3,RESOLVED,Low,9.02
IN10262040,2,RESOLVED,Medium,15.73
IN10262046,2,RESOLVED,Low,20.63
IN10262047,2,RESOLVED,Low,4.44
IN10262048,3,RESOLVED,Medium,24.87
IN10262048,3,RESOLVED,Medium,24.87
IN10262049,3,RESOLVED,Medium,5.74
IN10262055,2,RESOLVED,Medium,0.6
IN10262055,2,RESOLVED,Medium,0.6
IN10262060,2,RESOLVED,Medium,0.57
IN10262068,2,RESOLVED,Medium,13.93
IN10262075,2,RESOLVED,Low,752.47
IN10262076,5,RESOLVED,Medium,14.78
IN10262079,2,,Medium,0.0
IN10262081,3,RESOLVED,Medium,5.63
IN10262089,2,RESOLVED,Low,76.02
IN10262092,4,,Medium,
IN10262099,2,RESOLVED,Low,60.22
IN10262101,2,RESOLVED,Medium,3.67
IN10262103,3,RESOLVED,Medium,13.43
IN10262108,3,RESOLVED,Low,10.13
IN10262109,2,RESOLVED,Low,39.47
IN10262111,3,RESOLVED,Low,5.13
IN10262116,3,RESOLVED,Low,75.73
IN10262122,2,RESOLVED,Low,42.68
IN10262123,2,RESOLVED,Low,11.53
IN10262132,2,RESOLVED,Medium,136.95
IN10262139,2,RESOLVED,Low,21.07
IN10262148,2,RESOLVED,Low,59.25
IN10262173,5,RESOLVED,Medium,275.6
IN10262174,2,RESOLVED,Low,3.95
IN10262179,2,RESOLVED,Low,2.98
IN10262188,2,RESOLVED,Low,39.23
IN10262189,2,RESOLVED,Medium,0.0
IN10262190,2,RESOLVED,Low,21.2
IN10262191,3,RESOLVED,Medium,5.6
IN10262200,2,RESOLVED,Medium,2.8
IN10262205,4,RESOLVED,Low,954.62
IN10262225,2,RESOLVED,Low,82.23
IN10262225,2,RESOLVED,Low,82.23
IN10262231,2,RESOLVED,Low,0.0
IN10262248,2,RESOLVED,Low,0.0
IN10262279,2,RESOLVED,Medium,7.47
IN10262284,2,RESOLVED,Medium,2.88
IN10262284,2,RESOLVED,Medium,2.88
IN10262285,2,RESOLVED,Medium,2.87
IN10262285,2,RESOLVED,Medium,2.87
IN10262286,2,RESOLVED,Low,2.85
IN10262286,2,RESOLVED,Low,2.85
IN10262287,2,RESOLVED,Low,2.85
IN10262288,2,RESOLVED,Medium,7.43
IN10262289,2,RESOLVED,Medium,7.4
IN10262291,2,RESOLVED,Medium,7.37
IN10262297,2,RESOLVED,Low,0.25
IN10262320,4,RESOLVED,Medium,113.42
IN10262330,2,RESOLVED,Medium,7.33
IN10262332,2,RESOLVED,Medium,2.67
IN10262344,2,RESOLVED,Medium,5.18
IN10262353,2,RESOLVED,Low,0.48
IN10262357,2,RESOLVED,Medium,794.8
IN10262360,4,RESOLVED,Low,3.38
IN10262361,2,RESOLVED,Low,69.3
IN10262364,2,RESOLVED,Low,68.93
IN10262366,2,RESOLVED,Low,9.93
IN10262367,2,RESOLVED,Low,0.8
IN10262368,3,RESOLVED,Low,54.74
IN10262373,2,RESOLVED,Medium,0.12
IN10262373,2,RESOLVED,Medium,0.12
IN10262376,3,RESOLVED,Low,700.89
IN10262377,3,RESOLVED,Low,24.11
IN10262401,2,RESOLVED,Medium,12.56
IN10262405,2,RESOLVED,Low,9.71
IN10262406,2,RESOLVED,Low,53.45
IN10262411,2,RESOLVED,Low,2.57
IN10262415,2,RESOLVED,Low,4.13
IN10262419,2,RESOLVED,Low,9.01
IN10262430,2,RESOLVED,Low,438.1
IN10262433,2,RESOLVED,Low,0.72
IN10262435,4,RESOLVED,Medium,15.17
IN10262436,2,RESOLVED,Low,64.93
IN10262437,2,RESOLVED,Medium,52.44
IN10262438,2,RESOLVED,Low,11.98
IN10262441,2,RESOLVED,Medium,0.42
IN10262442,2,RESOLVED,Low,323.55
IN10262446,3,RESOLVED,Medium,6.85
IN10262451,2,RESOLVED,Low,115.65
IN10262455,2,RESOLVED,Low,6.4
IN10262456,3,RESOLVED,Low,501.54
IN10262458,3,RESOLVED,Medium,32.87
IN10262458,3,RESOLVED,Medium,32.87
IN10262459,2,,Low,
IN10262460,2,RESOLVED,Low,6.45
IN10262462,4,RESOLVED,Low,30.08
IN10262464,3,RESOLVED,Medium,112.89
IN10262467,4,,Medium,730.72
IN10262469,2,RESOLVED,Low,8.45
IN10262471,4,RESOLVED,Medium,5.59
IN10262472,4,RESOLVED,Medium,16.37
IN10262475,2,RESOLVED,Medium,129.44
IN10262481,2,,Low,
IN10262482,2,RESOLVED,Medium,37.06
IN10262488,6,RESOLVED,Low,52.15
IN10262491,2,RESOLVED,Medium,27.52
IN10262492,2,RESOLVED,Low,8.42
IN10262493,3,RESOLVED,Low,163.2
IN10262499,2,RESOLVED,Medium,82.22
IN10262506,2,,Medium,
IN10262510,3,RESOLVED,Low,850.0
IN10262519,2,RESOLVED,Low,0.0
IN10262523,2,,Low,
IN10262524,3,RESOLVED,Medium,94.35
IN10262526,2,RESOLVED,Low,7.85
IN10262531,3,RESOLVED,Low,105.03
IN10262533,2,RESOLVED,Medium,7.83
IN10262536,3,RESOLVED,Low,45.1
IN10262541,2,RESOLVED,Low,10.0
IN10262545,2,RESOLVED,Medium,7.75
IN10262546,3,RESOLVED,Medium,97.07
IN10262554,3,RESOLVED,Medium,142.53
IN10262556,2,RESOLVED,Medium,7.72
IN10262557,2,RESOLVED,Low,15.4
IN10262559,2,RESOLVED,Low,107.58
IN10262564,2,RESOLVED,Medium,122.77
IN10262569,2,RESOLVED,Low,10.88
IN10262573,3,RESOLVED,Low,3.57
IN10262574,4,RESOLVED,Low,16.67
IN10262579,2,RESOLVED,Low,4.55
IN10262581,2,RESOLVED,Low,2.43
IN10262603,2,RESOLVED,Medium,2.33
IN10262604,2,RESOLVED,Medium,36.52
IN10262605,2,RESOLVED,Medium,103.1
IN10262610,2,RESOLVED,Low,31.26
IN10262614,2,RESOLVED,Medium,7.05
IN10262623,2,RESOLVED,Medium,2.83
IN10262631,3,RESOLVED,Medium,3.68
IN10262631,3,RESOLVED,Medium,3.68
IN10262634,4,RESOLVED,Low,80.4
IN10262638,3,RESOLVED,Medium,4.5
IN10262642,2,RESOLVED,Medium,5.57
IN10262643,2,RESOLVED,Medium,3.28
IN10262645,2,RESOLVED,Low,0.42
IN10262648,2,RESOLVED,Low,43.26
IN10262666,2,RESOLVED,Low,14.8
IN10262667,4,RESOLVED,Low,261.97
IN10262670,2,RESOLVED,Low,3.88
IN10262670,2,RESOLVED,Low,3.88
IN10262672,2,RESOLVED,Medium,22.75
IN10262673,2,RESOLVED,Medium,1.68
IN10262674,3,RESOLVED,Low,48.83
IN10262677,3,RESOLVED,Medium,5.72
IN10262680,2,RESOLVED,Medium,2.43
IN10262681,2,RESOLVED,Medium,3.38
IN10262711,2,RESOLVED,Low,1.73
IN10262720,3,RESOLVED,Low,844.22
IN10262722,3,RESOLVED,Medium,7.9
IN10262722,3,RESOLVED,Medium,7.9
IN10262724,2,RESOLVED,Low,30.72
IN10262733,2,RESOLVED,Low,10.59
IN10262737,2,RESOLVED,Low,3.0
IN10262738,3,RESOLVED,Low,60.97
IN10262745,5,RESOLVED,Low,73.12
IN10262749,3,RESOLVED,Low,458.54
IN10262751,2,RESOLVED,Medium,58.23
IN10262754,2,RESOLVED,Medium,36.43
IN10262756,2,,Medium,
IN10262757,2,RESOLVED,Medium,257.07
IN10262759,2,RESOLVED,Low,39.23
IN10262766,2,RESOLVED,Medium,380.83
IN10262771,2,RESOLVED,Low,46.55
IN10262779,2,RESOLVED,Medium,660.0
IN10262780,2,RESOLVED,Medium,262.97
IN10262787,4,RESOLVED,Medium,477.88
IN10262788,5,RESOLVED,Medium,202.13
IN10262793,2,RESOLVED,Low,0.77
IN10262795,2,RESOLVED,Low,0.0
IN10262795,2,RESOLVED,Low,0.0
IN10262797,2,RESOLVED,Low,2.93
IN10262802,2,RESOLVED,Low,742.17
IN10262806,3,RESOLVED,Low,781.85
IN10262812,3,,Low,
IN10262818,2,RESOLVED,Medium,259.88
IN10262821,4,RESOLVED,Medium,67.9
IN10262825,2,RESOLVED,Medium,26.57
IN10262826,2,RESOLVED,Low,258.25
IN10262829,2,RESOLVED,Medium,66.97
IN10262832,2,RESOLVED,Low,30.0
IN10262835,3,RESOLVED,Low,4.07
IN10262841,3,RESOLVED,Low,8.28
IN10262844,3,RESOLVED,Low,172.72
IN10262852,2,RESOLVED,Medium,14.65
IN10262858,4,RESOLVED,Medium,931.62
IN10262858,4,RESOLVED,Medium,931.62
IN10262859,2,RESOLVED,Medium,14.62
IN10262866,2,RESOLVED,Low,0.73
IN10262867,2,RESOLVED,Low,2.03
IN10262870,5,RESOLVED,Low,889.55
IN10262874,2,RESOLVED,Low,0.75
IN10262874,2,RESOLVED,Low,0.75
IN10262875,3,RESOLVED,Medium,2.77
IN10262876,3,RESOLVED,Low,9.92
IN10262878,2,RESOLVED,Medium,18.13
IN10262884,3,RESOLVED,Medium,1.82
IN10262887,2,RESOLVED,Medium,143.25
IN10262896,2,RESOLVED,Low,41.45
IN10262903,3,RESOLVED,Low,26.15
IN10262905,3,RESOLVED,Low,789.3
IN10262912,2,RESOLVED,Medium,2.65
IN10262917,2,RESOLVED,Low,17.18
IN10262919,3,RESOLVED,Low,160.57
IN10262925,7,,Medium,
IN10262926,2,RESOLVED,Low,80.1
IN10262929,4,RESOLVED,Medium,4.02
IN10262936,2,RESOLVED,Low,3.12
IN10262937,2,RESOLVED,Low,0.87
IN10262940,2,RESOLVED,Medium,4.01
IN10262941,3,RESOLVED,Low,231.61
IN10262948,2,RESOLVED,Medium,148.65
IN10262960,5,RESOLVED,Low,74.19
IN10262961,2,RESOLVED,Medium,16.55
IN10262963,2,RESOLVED,Medium,54.7
IN10262964,3,RESOLVED,Low,54.6
IN10262969,3,RESOLVED,Low,372.93
IN10262970,3,RESOLVED,Medium,8.25
IN10262971,3,RESOLVED,Low,372.63
IN10262972,3,RESOLVED,Low,372.5
IN10262977,3,RESOLVED,Low,477.55
IN10262979,2,RESOLVED,Low,658.43
IN10262990,3,RESOLVED,Low,99.67
IN10262993,6,RESOLVED,Medium,486.52
IN10262995,2,RESOLVED,Low,4.63
IN10263000,4,RESOLVED,Medium,12.15
IN10263007,5,RESOLVED,Medium,16.73
IN10263007,5,RESOLVED,Medium,16.73
IN10263007,5,RESOLVED,Medium,16.73
IN10263029,4,RESOLVED,Low,35.78
IN10263030,2,RESOLVED,Medium,0.0
IN10263040,2,RESOLVED,Low,4.67
IN10263048,2,RESOLVED,Low,17.23
IN10263049,2,RESOLVED,Medium,4.6
IN10263059,2,RESOLVED,Low,14.67
IN10263064,4,RESOLVED,Low,17.97
IN10263070,2,RESOLVED,Medium,16.48
IN10263076,2,RESOLVED,Medium,0.33
IN10263077,2,RESOLVED,Medium,3.07
IN10263081,2,RESOLVED,Low,0.07
IN10263083,2,RESOLVED,Medium,12.84
IN10263087,3,RESOLVED,Medium,7.68
IN10263095,5,RESOLVED,Low,69.92
IN10263097,2,RESOLVED,Low,9.36
IN10263098,2,RESOLVED,Medium,756.15
IN10263100,2,RESOLVED,Low,200.55
IN10263103,2,RESOLVED,Low,5.9
IN10263104,2,RESOLVED,Medium,39.02
IN10263109,2,RESOLVED,Medium,1.28
IN10263112,2,RESOLVED,Medium,6.22
IN10263113,2,RESOLVED,Medium,182.29
IN10263118,2,RESOLVED,Low,127.85
IN10263126,2,,Medium,
IN10263134,3,RESOLVED,Medium,307.6
IN10263136,3,RESOLVED,Low,69.72
IN10263136,3,RESOLVED,Low,69.72
IN10263137,3,RESOLVED,Low,22.18
IN10263140,2,RESOLVED,Low,9.91
IN10263141,3,RESOLVED,Low,19.65
IN10263147,2,RESOLVED,Low,439.96
IN10263152,2,RESOLVED,Medium,29.99
IN10263163,2,RESOLVED,Medium,214.46
IN10263164,2,RESOLVED,Low,32.8
IN10263173,3,RESOLVED,Medium,88.73
IN10263175,2,RESOLVED,Low,641.65
IN10263180,2,RESOLVED,Medium,10.82
IN10263182,5,RESOLVED,Low,24.92
IN10263184,2,RESOLVED,Low,21.2
IN10263184,2,RESOLVED,Low,21.2
IN10263188,4,RESOLVED,Low,338.97
IN10263195,3,RESOLVED,Low,18.7
IN10263195,3,RESOLVED,Low,18.7
IN10263200,4,,Medium,2.55
IN10263203,2,RESOLVED,Low,4.15
IN10263204,4,RESOLVED,Medium,210.0
IN10263211,3,RESOLVED,Low,104.63
IN10263214,2,RESOLVED,Medium,0.17
IN10263215,3,RESOLVED,Low,64.22
IN10263216,3,RESOLVED,Low,235.68
IN10263222,2,RESOLVED,Medium,0.0
IN10263238,2,RESOLVED,Low,1.6
IN10263244,2,RESOLVED,Low,1.02
IN10263244,2,RESOLVED,Low,1.02
IN10263247,2,RESOLVED,Low,145.56
IN10263250,2,RESOLVED,Low,99.92
IN10263250,2,RESOLVED,Low,99.92
IN10263251,5,RESOLVED,Medium,39.8
IN10263254,2,RESOLVED,Low,149.03
IN10263256,3,RESOLVED,Low,34.35
IN10263262,5,RESOLVED,Medium,118.27
IN10263266,3,RESOLVED,Medium,87.03
IN10263273,4,RESOLVED,Medium,48.23
IN10263275,2,RESOLVED,Low,15.59
IN10263276,3,RESOLVED,Medium,8.39
IN10263277,2,RESOLVED,Medium,173.61
IN10263279,2,RESOLVED,Low,19.11
IN10263281,2,RESOLVED,Low,231.42
IN10263283,4,RESOLVED,Low,706.99
IN10263286,2,RESOLVED,Medium,57.65
IN10263289,2,RESOLVED,Low,25.3
IN10263299,2,RESOLVED,Low,1.37
IN10263304,2,RESOLVED,Low,55.92
IN10263316,5,RESOLVED,Medium,103.9
IN10263321,2,RESOLVED,Low,35.48
IN10263330,2,RESOLVED,Low,61.25
IN10263336,2,RESOLVED,Low,14.34
IN10263337,2,RESOLVED,Medium,15.9
IN10263340,2,RESOLVED,Medium,64.77
IN10263341,2,RESOLVED,Medium,16.22
IN10263342,2,RESOLVED,Medium,4.12
IN10263344,2,RESOLVED,Low,7.58
IN10263358,2,RESOLVED,Low,50.18
IN10263360,2,RESOLVED,Medium,225.72
IN10263368,5,RESOLVED,Medium,131.88
IN10263373,4,RESOLVED,Medium,0.0
IN10263374,4,RESOLVED,Medium,0.0
IN10263383,3,RESOLVED,Medium,3.17
IN10263425,2,RESOLVED,Medium,1.33
IN10263429,3,RESOLVED,Low,175.37
IN10263430,2,RESOLVED,Low,10.0
IN10263431,2,RESOLVED,Medium,1.88
IN10263433,2,RESOLVED,Medium,1.85
IN10263438,2,RESOLVED,Medium,3.27
IN10263439,2,RESOLVED,Low,10.0
IN10263440,4,RESOLVED,Low,0.0
IN10263445,2,RESOLVED,Medium,55.22
IN10263495,2,RESOLVED,Low,30.38
IN10263519,2,RESOLVED,Medium,55.25
IN10263520,3,RESOLVED,Medium,8.78
IN10263531,2,RESOLVED,Low,4.17
IN10263538,2,RESOLVED,Low,3.62
IN10263539,2,RESOLVED,Medium,5.35
IN10263541,3,RESOLVED,Low,100.0
IN10263543,2,RESOLVED,Low,5.53
IN10263547,2,RESOLVED,Medium,16.98
IN10263602,4,RESOLVED,Medium,59.92
IN10263602,4,RESOLVED,Medium,59.92
IN10263622,2,RESOLVED,Low,9.52
IN10263622,2,RESOLVED,Low,9.52
IN10263627,2,RESOLVED,Medium,1.0
IN10263630,2,RESOLVED,Low,8.91
IN10263630,2,RESOLVED,Low,8.91
IN10263631,2,RESOLVED,Low,29.18
IN10263638,4,RESOLVED,Low,3.6
IN10263641,2,RESOLVED,Low,42.84
IN10263642,2,,Low,
IN10263643,2,RESOLVED,Low,38.93
IN10263643,2,RESOLVED,Low,38.93
IN10263645,2,RESOLVED,Medium,2.2
IN10263650,2,RESOLVED,Low,14.05
IN10263650,2,RESOLVED,Low,14.05
IN10263651,2,RESOLVED,Low,3.07
IN10263654,2,RESOLVED,Low,1.78
IN10263659,3,,Low,
IN10263669,2,RESOLVED,Medium,52.71
IN10263675,2,RESOLVED,Medium,12.95
IN10263676,2,RESOLVED,Medium,40.78
IN10263677,2,RESOLVED,Low,21.15
IN10263679,2,RESOLVED,Medium,255.45
IN10263696,2,RESOLVED,Low,14.75
IN10263698,2,,Medium,
IN10263714,2,RESOLVED,Low,7.6
IN10263716,2,RESOLVED,Low,18.38
IN10263716,2,RESOLVED,Low,18.38
IN10263717,2,RESOLVED,Medium,349.69
IN10263720,4,RESOLVED,Low,1.82
IN10263725,2,RESOLVED,Low,64.78
IN10263737,2,,Medium,
IN10263738,3,RESOLVED,Low,53.04
IN10263739,2,RESOLVED,Medium,8.31
IN10263740,2,RESOLVED,Medium,24.35
IN10263742,2,RESOLVED,Medium,8.05
IN10263748,2,RESOLVED,Low,12.33
IN10263757,7,RESOLVED,Low,68.55
IN10263757,7,RESOLVED,Low,68.55
IN10263758,3,,Medium,
IN10263759,2,RESOLVED,Low,46.27
IN10263761,2,RESOLVED,Low,46.8
IN10263766,3,RESOLVED,Low,0.0
IN10263770,3,RESOLVED,Low,46.28
IN10263771,2,RESOLVED,Low,192.1
IN10263774,2,RESOLVED,Low,56.48
IN10263776,2,RESOLVED,Low,6.05
IN10263777,2,RESOLVED,Low,3.7
IN10263779,2,RESOLVED,Medium,8.47
IN10263793,3,RESOLVED,Medium,15.8
IN10263795,2,RESOLVED,Medium,46.65
IN10263801,3,RESOLVED,Low,43.22
IN10263804,2,RESOLVED,Low,2.43
IN10263806,5,RESOLVED,Medium,36.9
IN10263813,2,RESOLVED,Medium,421.82
IN10263822,3,RESOLVED,Low,2.07
IN10263844,2,RESOLVED,Low,0.78
IN10263844,2,RESOLVED,Low,0.78
IN10263847,2,RESOLVED,Low,9.55
IN10263852,2,RESOLVED,Medium,5.48
IN10263858,2,RESOLVED,Low,35.91
IN10263860,3,RESOLVED,Medium,348.91
